"date","state","positive"
"20200316","MH",32
"20200317","MH",39
"20200318","MH",42
"20200319","MH",47
"20200320","MH",52
"20200321","MH",63
"20200322","MH",67
"20200323","MH",74
"20200324","MH",89
"20200325","MH",128
"20200326","MH",124
"20200327","MH",130
"20200328","MH",180
"20200329","MH",186
"20200330","MH",198
"20200331","MH",216
"20200401","MH",302
"20200402","MH",335
"20200403","MH",335
"20200404","MH",490
"20200405","MH",490
"20200406","MH",748
"20200407","MH",868
"20200408","MH",1018
"20200409","MH",1135
"20200410","MH",1364
"20200411","MH",1574
"20200412","MH",1761
"20200413","MH",1985
"20200414","MH",2337
"20200415","MH",2687
"20200416","MH",2919
"20200417","MH",3205
"20200418","MH",3323
"20200419","MH",3651
"20200420","MH",4203
"20200421","MH",4666
"20200310","MN",0
"20200311","MN",0
"20200312","MN",0
"20200313","MN",0
"20200314","MN",0
"20200315","MN",0
"20200316","MN",0
"20200317","MN",0
"20200318","MN",0
"20200319","MN",0
"20200320","MN",0
"20200321","MN",0
"20200322","MN",0
"20200323","MN",0
"20200324","MN",1
"20200325","MN",1
"20200326","MN",1
"20200327","MN",1
"20200328","MN",1
"20200329","MN",1
"20200330","MN",1
"20200331","MN",1
"20200401","MN",1
"20200402","MN",1
"20200403","MN",2
"20200404","MN",2
"20200405","MN",2
"20200406","MN",2
"20200407","MN",2
"20200408","MN",2
"20200409","MN",2
"20200410","MN",2
"20200411","MN",2
"20200412","MN",2
"20200413","MN",2
"20200414","MN",2
"20200415","MN",2
"20200416","MN",2
"20200417","MN",2
"20200418","MN",2
"20200419","MN",2
"20200420","MN",2
"20200421","MN",2
"20200310","MG",0
"20200311","MG",0
"20200312","MG",0
"20200313","MG",0
"20200314","MG",0
"20200315","MG",0
"20200316","MG",0
"20200317","MG",0
"20200318","MG",0
"20200319","MG",0
"20200320","MG",0
"20200321","MG",0
"20200322","MG",0
"20200323","MG",0
"20200324","MG",0
"20200325","MG",0
"20200326","MG",0
"20200327","MG",0
"20200328","MG",0
"20200329","MG",0
"20200330","MG",0
"20200331","MG",0
"20200401","MG",0
"20200402","MG",0
"20200403","MG",0
"20200404","MG",0
"20200405","MG",0
"20200406","MG",0
"20200407","MG",0
"20200408","MG",0
"20200409","MG",0
"20200410","MG",0
"20200411","MG",0
"20200412","MG",0
"20200413","MG",0
"20200414","MG",1
"20200415","MG",7
"20200416","MG",7
"20200417","MG",9
"20200418","MG",11
"20200419","MG",11
"20200420","MG",11
"20200421","MG",11
"20200310","MZ",0
"20200311","MZ",0
"20200312","MZ",0
"20200313","MZ",0
"20200314","MZ",0
"20200315","MZ",0
"20200316","MZ",0
"20200317","MZ",0
"20200318","MZ",0
"20200319","MZ",0
"20200320","MZ",0
"20200321","MZ",0
"20200322","MZ",0
"20200323","MZ",0
"20200324","MZ",0
"20200325","MZ",1
"20200326","MZ",1
"20200327","MZ",1
"20200328","MZ",1
"20200329","MZ",1
"20200330","MZ",1
"20200331","MZ",1
"20200401","MZ",1
"20200402","MZ",1
"20200403","MZ",1
"20200404","MZ",1
"20200405","MZ",1
"20200406","MZ",1
"20200407","MZ",1
"20200408","MZ",1
"20200409","MZ",1
"20200410","MZ",1
"20200411","MZ",1
"20200412","MZ",1
"20200413","MZ",1
"20200414","MZ",1
"20200415","MZ",1
"20200416","MZ",1
"20200417","MZ",1
"20200418","MZ",1
"20200419","MZ",1
"20200420","MZ",1
"20200421","MZ",1
"20200310","NG",0
"20200311","NG",0
"20200312","NG",0
"20200313","NG",0
"20200314","NG",0
"20200315","NG",0
"20200316","NG",0
"20200317","NG",0
"20200318","NG",0
"20200319","NG",0
"20200320","NG",0
"20200321","NG",0
"20200322","NG",0
"20200323","NG",0
"20200324","NG",0
"20200325","NG",0
"20200326","NG",0
"20200327","NG",0
"20200328","NG",0
"20200329","NG",0
"20200330","NG",0
"20200331","NG",0
"20200401","NG",0
"20200402","NG",0
"20200403","NG",0
"20200404","NG",0
"20200405","NG",0
"20200406","NG",0
"20200407","NG",0
"20200408","NG",0
"20200409","NG",0
"20200410","NG",0
"20200411","NG",0
"20200412","NG",0
"20200413","NG",1
"20200414","NG",1
"20200415","NG",0
"20200416","NG",0
"20200417","NG",0
"20200418","NG",0
"20200419","NG",0
"20200420","NG",0
"20200421","NG",0
"20200310","OD",0
"20200311","OD",0
"20200312","OD",0
"20200313","OD",0
"20200314","OD",0
"20200315","OD",0
"20200316","OD",1
"20200317","OD",1
"20200318","OD",1
"20200319","OD",1
"20200320","OD",2
"20200321","OD",2
"20200322","OD",2
"20200323","OD",2
"20200324","OD",2
"20200325","OD",2
"20200326","OD",2
"20200327","OD",2
"20200328","OD",3
"20200329","OD",3
"20200330","OD",3
"20200331","OD",3
"20200401","OD",4
"20200402","OD",4
"20200403","OD",5
"20200404","OD",5
"20200405","OD",20
"20200406","OD",21
"20200407","OD",42
"20200408","OD",42
"20200409","OD",42
"20200410","OD",44
"20200411","OD",48
"20200412","OD",54
"20200413","OD",54
"20200414","OD",55
"20200415","OD",60
"20200416","OD",60
"20200417","OD",60
"20200418","OD",60
"20200419","OD",61
"20200420","OD",68
"20200421","OD",74
"20200310","PD",0
"20200311","PD",0
"20200312","PD",0
"20200313","PD",0
"20200314","PD",0
"20200315","PD",0
"20200316","PD",0
"20200317","PD",0
"20200318","PD",1
"20200319","PD",1
"20200320","PD",1
"20200321","PD",1
"20200322","PD",1
"20200323","PD",1
"20200324","PD",1
"20200325","PD",1
"20200326","PD",1
"20200327","PD",1
"20200328","PD",1
"20200329","PD",1
"20200330","PD",1
"20200331","PD",1
"20200401","PD",3
"20200402","PD",3
"20200403","PD",5
"20200404","PD",5
"20200405","PD",5
"20200406","PD",5
"20200407","PD",5
"20200408","PD",5
"20200409","PD",5
"20200410","PD",5
"20200411","PD",7
"20200412","PD",7
"20200413","PD",7
"20200414","PD",7
"20200415","PD",7
"20200416","PD",7
"20200417","PD",7
"20200418","PD",7
"20200419","PD",7
"20200420","PD",7
"20200421","PD",7
"20200310","PJ",1
"20200311","PJ",1
"20200312","PJ",1
"20200313","PJ",1
"20200314","PJ",1
"20200315","PJ",1
"20200316","PJ",1
"20200317","PJ",1
"20200318","PJ",1
"20200319","PJ",2
"20200320","PJ",2
"20200321","PJ",13
"20200322","PJ",21
"20200323","PJ",21
"20200324","PJ",29
"20200325","PJ",29
"20200326","PJ",33
"20200327","PJ",33
"20200328","PJ",38
"20200329","PJ",38
"20200330","PJ",38
"20200331","PJ",41
"20200401","PJ",42
"20200402","PJ",46
"20200403","PJ",48
"20200404","PJ",57
"20200405","PJ",57
"20200406","PJ",76
"20200407","PJ",91
"20200408","PJ",91
"20200409","PJ",101
"20200410","PJ",132
"20200411","PJ",132
"20200412","PJ",151
"20200413","PJ",167
"20200414","PJ",176
"20200415","PJ",186
"20200416","PJ",186
"20200417","PJ",186
"20200418","PJ",202
"20200419","PJ",219
"20200420","PJ",219
"20200421","PJ",245
"20200310","RJ",2
"20200311","RJ",3
"20200312","RJ",3
"20200313","RJ",3
"20200314","RJ",3
"20200315","RJ",4
"20200316","RJ",4
"20200317","RJ",4
"20200318","RJ",4
"20200319","RJ",7
"20200320","RJ",17
"20200321","RJ",17
"20200322","RJ",24
"20200323","RJ",28
"20200324","RJ",32
"20200325","RJ",36
"20200326","RJ",41
"20200327","RJ",41
"20200328","RJ",54
"20200329","RJ",55
"20200330","RJ",59
"20200331","RJ",74
"20200401","RJ",93
"20200402","RJ",108
"20200403","RJ",167
"20200404","RJ",200
"20200405","RJ",200
"20200406","RJ",274
"20200407","RJ",288
"20200408","RJ",328
"20200409","RJ",383
"20200410","RJ",463
"20200411","RJ",553
"20200412","RJ",700
"20200413","RJ",812
"20200414","RJ",879
